index,datum,javni,zasebni
440,2024-05-21,865.5600000000001,317.67
441,2024-05-22,865.09,317.67
442,2024-05-23,865.09,317.67
443,2024-05-24,865.09,317.67
444,2024-05-25,864.09,317.67
445,2024-05-27,864.09,317.67
446,2024-05-28,864.09,317.67
447,2024-05-29,864.09,317.67
448,2024-05-30,864.09,317.67
449,2024-05-31,864.09,317.67
450,2024-06-01,865.03,317.67
451,2024-06-03,865.03,318.67
452,2024-06-04,864.82,318.67
453,2024-06-05,865.62,317.67
454,2024-06-06,865.37,317.67
455,2024-06-07,865.37,318.23
456,2024-06-08,865.57,318.23
457,2024-06-10,865.57,318.23
458,2024-06-11,865.57,318.23
459,2024-06-12,865.35,318.23
460,2024-06-13,865.35,318.23
461,2024-06-14,865.35,318.23
462,2024-06-15,864.35,318.23
463,2024-06-17,864.35,318.23
464,2024-06-18,863.55,318.23
465,2024-06-19,863.55,318.23
466,2024-06-20,863.96,318.23
467,2024-06-21,863.96,318.23
468,2024-06-22,863.41,318.23
469,2024-06-24,863.41,318.23
470,2024-06-25,863.41,318.23
471,2024-06-26,863.41,318.23
472,2024-06-27,864.01,318.23
473,2024-06-28,864.01,318.23
474,2024-06-29,864.01,318.23
475,2024-07-01,864.77,319.23
476,2024-07-02,865.52,319.23
477,2024-07-03,865.31,319.23
478,2024-07-04,865.31,319.23
479,2024-07-05,865.61,319.23
480,2024-07-06,865.61,319.23
481,2024-07-08,865.61,319.23
482,2024-07-09,865.61,319.23
483,2024-07-10,866.83,319.23
484,2024-07-11,866.61,319.23
485,2024-07-12,866.61,319.23
486,2024-07-13,866.61,319.23
487,2024-07-15,866.61,319.23
488,2024-07-16,866.61,319.23
489,2024-07-17,866.61,319.23
490,2024-07-18,866.61,319.23
491,2024-07-20,866.61,319.23
492,2024-07-22,866.61,319.23
493,2024-07-23,866.61,319.23
494,2024-07-24,866.61,319.23
495,2024-07-25,866.61,319.23
496,2024-07-26,866.61,319.23
497,2024-07-27,866.61,319.23
498,2024-07-29,866.61,319.23
499,2024-07-30,866.61,319.23
500,2024-07-31,866.61,319.23
501,2024-08-01,858.39,320.23
502,2024-08-02,857.62,319.23
503,2024-08-03,857.62,319.23
504,2024-08-05,857.62,319.23
505,2024-08-06,857.62,319.23
506,2024-08-07,864.1,319.23
507,2024-08-08,864.1,319.23
508,2024-08-15,864.15,319.23
509,2024-08-16,864.15,319.23
510,2024-08-17,864.15,319.23
511,2024-08-19,864.15,319.23
512,2024-08-20,865.15,319.23
513,2024-08-21,865.15,319.23
514,2024-08-22,865.15,319.23
515,2024-08-23,865.15,319.23
516,2024-08-24,865.15,319.23
517,2024-08-26,865.15,319.23
518,2024-08-27,865.15,319.23
519,2024-08-28,865.15,319.23
520,2024-08-29,865.15,319.23
521,2024-08-30,864.63,319.23
522,2024-08-31,863.88,319.23
523,2024-09-03,864.58,319.23
524,2024-09-04,863.5,319.23
525,2024-09-05,863.5,319.23
526,2024-09-06,863.5,319.23
527,2024-09-07,863.5,319.43
528,2024-09-09,863.5,319.43
529,2024-09-10,862.68,319.43
530,2024-09-11,864.23,319.43
531,2024-09-12,863.81,319.43
532,2024-09-13,864.63,319.43
533,2024-09-14,864.63,319.43
534,2024-09-16,863.98,319.43
535,2024-09-17,863.87,319.43
536,2024-09-18,861.87,320.43
537,2024-09-19,861.62,320.43
538,2024-09-20,862.62,320.43
539,2024-09-21,862.62,320.43
540,2024-09-23,862.62,320.43
541,2024-09-24,863.29,320.43
542,2024-09-25,861.84,320.43
543,2024-09-26,861.84,320.43
544,2024-09-27,862.62,320.43
545,2024-09-28,862.62,320.43
546,2024-09-30,863.62,320.43
547,2024-10-01,864.12,321.44
548,2024-10-02,861.45,324.19
549,2024-10-03,862.0,326.19
550,2024-10-04,862.0,325.19
551,2024-10-05,861.0,325.44
552,2024-10-07,861.0,325.44
